Question,# of respondents ,parent_code_id,# of parent code,% of total interviewees,Parent_code_name,Parent_code_definition,subcode_number,subcode_name,subcode_definition,# subcode respondents ,% of  subcode per parent code respondents,,,,,,,
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC5,40,100.00%,Mental Health & Medical Concerns,Recognition of the intersection between psychedelics and mental health treatment,2,Medical & Emergency Safety,"Overdoses, hospitalizations, contraindications, and need for preparedness",28,70.00%,,,,,,,
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC5,40,100.00%,Mental Health & Medical Concerns,Recognition of the intersection between psychedelics and mental health treatment,3,Long-Term Risks,"References to persistent issues such as psychosis, HPPD, ketamine misuse, or long-term consequences",14,35.00%,,,,,,12,1
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC6,38,95.00%,"Access, Equity & Social Justice","Views that safety enables fair access, reduces stigma, and supports marginalized groups",1,Safety as Access,"Without safety, psychedelics cannot be responsibly available to communities",38,100.00%,,,,,,36.36%,2.78%
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC6,38,95.00%,"Access, Equity & Social Justice","Views that safety enables fair access, reduces stigma, and supports marginalized groups",2,Equity for Vulnerable Groups,"Special emphasis on LGBTQ+, neurodivergent, or underserved communities",12,31.58%,,,,,,,
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC7,40,100.00%,Personal Experience and Connection,"Respondents’ personal stakes, identities, or lived experiences that make psychedelic safety important.",1,Witnessing Negative Outcomes,"Directly observing or experiencing trauma, bad trips, overdoses, or unsafe environments",36,90.00%,,,,,,,
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC7,40,100.00%,Personal Experience and Connection,"Respondents’ personal stakes, identities, or lived experiences that make psychedelic safety important.",2,Benefit and Healing,"safety matters is to preserve the potential benefits of psychedelics—healing, personal growth, and spiritual development. Safety is seen as a means to an end, ensuring these positive outcomes are accessible",34,85.00%,,,,,,,
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC7,40,100.00%,Personal Experience and Connection,"Respondents’ personal stakes, identities, or lived experiences that make psychedelic safety important.",3,Professional Identity,"Clinicians, therapists, paramedics, and community leaders committed to linking safety to professional ethics.",13,32.50%,,,,,,,
What are your biggest concerns about psychedelic use in your community?,40,Q6_PC1,40,100.00%,Lack of Education & Unrealistic Expectations,"Concerns about misinformation, hype, and inadequate preparation leading to unsafe or disappointing experiences.",1,Unrealistic Expectations & Media Hype,"the ""easy button"" mentality, where psychedelics are viewed as a quick fix or ""silver bullet."" This overhype can lead to people being ""completely unprepared for, and occasionally traumatized by, the intensity of the experience.""",11,27.50%,,,,,,,
What are your biggest concerns about psychedelic use in your community?,40,Q6_PC1,40,100.00%,Lack of Education & Unrealistic Expectations,"Concerns about misinformation, hype, and inadequate preparation leading to unsafe or disappointing experiences.",2,Lack of Foundational Knowledge,Many people lack a basic understanding of safe use,38,95.00%,,,,,,,
What are your biggest concerns about psychedelic use in your community?,40,Q6_PC1,40,100.00%,Lack of Education & Unrealistic Expectations,"Concerns about misinformation, hype, and inadequate preparation leading to unsafe or disappointing experiences.",3,Absence of Accessible Information,"Clear, user-friendly information is difficult to find",29,72.50%,,,,,,,
What are your biggest concerns about psychedelic use in your community?,40,Q6_PC1,40,100.00%,Lack of Education & Unrealistic Expectations,"Concerns about misinformation, hype, and inadequate preparation leading to unsafe or disappointing experiences.",4,Cultural Misrepresentation,"Concerns about sensationalism, commercialization, and hype cycles",19,47.50%,,,,,,,
What are your biggest concerns about psychedelic use in your community?,40,Q6_PC2,40,100.00%,Unsafe Practices and Practitioners,Direct risks from how psychedelics are being used and facilitated,1,Unqualified Facilitators,Inexperienced or self-proclaimed shamans/guides leading unsafe practices,35,87.50%,,,,,,,
What are your biggest concerns about psychedelic use in your community?,40,Q6_PC2,40,100.00%,Unsafe Practices and Practitioners,Direct risks from how psychedelics are being used and facilitated,2,Reckless or Recreational Use,"Using in unsafe contexts without support (parties, festivals, unfamiliar environments)",25,62.50%,,,,,,,
What are your biggest concerns about psychedelic use in your community?,40,Q6_PC2,40,100.00%,Unsafe Practices and Practitioners,Direct risks from how psychedelics are being used and facilitated,3,Irresponsible use,using psychedelics in a way that is not conducive to their well-being,16,40.00%,,,,,,,
What are your biggest concerns about psychedelic use in your community?,40,Q6_PC2,40,100.00%,Unsafe Practices and Practitioners,Direct risks from how psychedelics are being used and facilitated,4,Adulterated and Unsafe Substances ,"widespread worry about the ""safety of head shop products"" and substances with unknown ingredients",25,62.50%,,,,,,,
What are your biggest concerns about psychedelic use in your community?,40,Q6_PC2,40,100.00%,Unsafe Practices and Practitioners,Direct risks from how psychedelics are being used and facilitated,5,Addiction Concerns,Especially ketamine misuse.,9,22.50%,,,,,,,
What are your biggest concerns about psychedelic use in your community?,40,Q6_PC3,33,82.50%,Systemic and Legal Barriers,broader legal and social systems that make safe use difficult,1,Legal and Political Persecution,criminalization of psychedelics creates a constant risk of arrest and prosecution,12,36.36%,,,,,,,
What are your biggest concerns about psychedelic use in your community?,40,Q6_PC3,33,82.50%,Systemic and Legal Barriers,broader legal and social systems that make safe use difficult,2,Stigma and Lack of Support,stigma around drug use leads people to be afraid to seek help or openly discuss their experiences. ,17,51.52%,,,,,,,
What are your biggest concerns about psychedelic use in your community?,40,Q6_PC3,33,82.50%,Systemic and Legal Barriers,broader legal and social systems that make safe use difficult,3,Stigma in Specific Communities,"Particularly strong in Asian diaspora, conservative regions, and LGBTQ+ contexts",3,9.09%,,,,,,,
What are your biggest concerns about psychedelic use in your community?,40,Q6_PC3,33,82.50%,Systemic and Legal Barriers,broader legal and social systems that make safe use difficult,4,Lack of Regulation of Products,Unsafe “legal highs” and mislabelled head shop psychedelics,22,66.67%,,,,,,,
What are your biggest concerns about psychedelic use in your community?,40,Q6_PC4,36,90.00%,Vulnerable Populations,Risks for specific groups who may need tailored approaches,1,Neurodivergent Users,Re-traumatization or psychosis from unsafe use without preparation or support,1,2.78%,,,,,,,
What are your biggest concerns about psychedelic use in your community?,40,Q6_PC4,36,90.00%,Vulnerable Populations,Risks for specific groups who may need tailored approaches,2,Trauma Survivors & Mental Health Risks,"Concerns that individuals with trauma histories, unresolved psychological conditions, or heightened vulnerability may be retraumatized, destabilized, or experience severe psychological fallout without adequate preparation, screening, or integration support.",34,94.44%,,,,,,,
What are your biggest concerns about psychedelic use in your community?,40,Q6_PC4,36,90.00%,Vulnerable Populations,Risks for specific groups who may need tailored approaches,3,Marginalized Communities,"Greater vulnerability due to discrimination, lack of access to safe resources.",11,30.56%,,,,,,,
What are some of the reasons your community takes psychedelics?,40,Q13_PC1,36,90.00%,Mental Health & Healing,Use of psychedelics to address psychological or clinical challenges,1,Trauma & PTSD,"using psychedelics to process past traumatic events, including combat-related PTSD and childhood trauma",18,50.00%,,,,,,,
What are some of the reasons your community takes psychedelics?,40,Q13_PC1,36,90.00%,Mental Health & Healing,Use of psychedelics to address psychological or clinical challenges,2,Depression & Anxiety,Addressing mood disorders or emotional distress through psychedelic use,20,55.56%,,,,,,,
What are some of the reasons your community takes psychedelics?,40,Q13_PC1,36,90.00%,Mental Health & Healing,Use of psychedelics to address psychological or clinical challenges,3,Addiction & Substance Use Recovery,"Using psychedelics to reduce dependence on other substances, or break cycles of harmful use",5,13.89%,,,,,,,
What are some of the reasons your community takes psychedelics?,40,Q13_PC1,36,90.00%,Mental Health & Healing,Use of psychedelics to address psychological or clinical challenges,4,Microdosing for mental health ,Replacing or reducing antidepressants/anxiolytics with microdosing regimens.,5,13.89%,,,,,,,
What are some of the reasons your community takes psychedelics?,40,Q13_PC1,36,90.00%,Mental Health & Healing,Use of psychedelics to address psychological or clinical challenges,5,Other Clinical/Health Conditions,"Chronic illness, migraines, or treatment-resistant conditions managed through psychedelics",6,16.67%,,,,,,,
What are some of the reasons your community takes psychedelics?,40,Q13_PC1,36,90.00%,Mental Health & Healing,Use of psychedelics to address psychological or clinical challenges,6,Identity & Cultural Healing,"Addressing struggles with self-identity, cultural belonging, or personal history",9,25.00%,,,,,,,
What are some of the reasons your community takes psychedelics?,40,Q13_PC1,36,90.00%,Mental Health & Healing,Use of psychedelics to address psychological or clinical challenges,7,Consciousness Expansion,Curiosity-driven exploration of altered states without strictly spiritual framing,18,50.00%,,,,,,,
What are some of the reasons your community takes psychedelics?,40,Q13_PC1,36,90.00%,Mental Health & Healing,Use of psychedelics to address psychological or clinical challenges,8,Creativity & Play,"Use for novelty, inspiration, or boosting artistic and playful expression",15,41.67%,,,,,,,
What are some of the reasons your community takes psychedelics?,40,Q13_PC1,36,90.00%,Mental Health & Healing,Use of psychedelics to address psychological or clinical challenges,9,Problem-Solving,"Enhancing focus, productivity, or innovation",2,5.56%,,,,,,,
What are some of the reasons your community takes psychedelics?,40,Q13_PC2,36,90.00%,Spiritual Growth & Exploration,"Use motivated by existential, metaphysical, or transcendent goals",1,Spiritual Development,"Seeking deeper self-awareness, enlightenment, or personal transformation through psychedelic practices.",33,91.67%,,,,,,,
What are some of the reasons your community takes psychedelics?,40,Q13_PC2,36,90.00%,Spiritual Growth & Exploration,"Use motivated by existential, metaphysical, or transcendent goals",2,Existential/Philosophical Inquiry ,"Exploring questions of meaning, purpose, consciousness, or reality through altered states.",10,27.78%,,,,,,,
What are some of the reasons your community takes psychedelics?,40,Q13_PC2,36,90.00%,Spiritual Growth & Exploration,"Use motivated by existential, metaphysical, or transcendent goals",3,Religious or Ceremonial Practice,"Use within spiritual/indigenous traditions, rituals, or ceremonial contexts (e.g., ayahuasca, Bufo)",19,52.78%,,,,,,,
What are some of the reasons your community takes psychedelics?,40,Q13_PC3,31,77.50%,Recreational & Social Use,"Use of psychedelics primarily for leisure, enjoyment, or social connection.",1,Fun & Entertainment,"Psychedelics taken for partying, raves, dance, or festivals without explicit therapeutic/spiritual intent.",25,80.65%,,,,,,,
What are some of the reasons your community takes psychedelics?,40,Q13_PC3,31,77.50%,Recreational & Social Use,"Use of psychedelics primarily for leisure, enjoyment, or social connection.",2,Social Bonding,"Use to deepen relationships, feel connected with friends, partners, or communities",18,58.06%,,,,,,,
What are some of the reasons your community takes psychedelics?,5,Q13_SSDP_PC1,4,80.00%,Recreational & Social Use,"Use of psychedelics for fun, bonding, and shared experiences",1,Party/College Culture,"Use within campus or festival contexts, often experimental and episodic",4,100.00%,,,,,,,
What are some of the reasons your community takes psychedelics?,5,Q13_SSDP_PC1,4,80.00%,Recreational & Social Use,"Use of psychedelics for fun, bonding, and shared experiences",2,Fun & Enjoyment,"Using psychedelics for pleasure, novelty, and breaking monotony",4,100.00%,,,,,,,
What are some of the reasons your community takes psychedelics?,5,Q13_SSDP_PC2,3,60.00%,Spiritual Growth and Self-Exploration ,"Seeking meaning, insight, or deeper understanding of the self.",1,Self-Acceptance & Identity,"Psychedelics as tools for self-acceptance, identity exploration, and processing marginalization",3,100.00%,,,,,,,
What are some of the reasons your community takes psychedelics?,5,Q13_SSDP_PC2,3,60.00%,Spiritual Growth and Self-Exploration ,"Seeking meaning, insight, or deeper understanding of the self.",2,Spiritual Exploration,"Using psychedelics for meditative purposes, enlightenment, or existential reflection",2,66.67%,,,,,,,
What are some of the reasons your community takes psychedelics?,5,Q13_SSDP_PC3,3,60.00%,Mental Health & Healing,"Use of psychedelics for psychological challenges, emotional regulation, or recovery",1,Self-Healing & Emotional Coping,"General use for healing personal wounds, often tied to marginalized identities",3,100.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *at festivals and parties?*,40,Q16_PC1,39,97.50%,Substance-Related Risks,concerns related to the psychedelic substances themselves,1,Contaminated or Mislabeled Substances,"substance consumed is not what it was sold as, or is ""laced"" with other, potentially dangerous compounds",22,56.41%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *at festivals and parties?*,40,Q16_PC1,39,97.50%,Substance-Related Risks,concerns related to the psychedelic substances themselves,2,Unverified/Legal Novel Compounds,Use of store-bought “legal psychedelics” or unknown synthetics with unpredictable effects,8,20.51%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *at festivals and parties?*,40,Q16_PC1,39,97.50%,Substance-Related Risks,concerns related to the psychedelic substances themselves,3,Dosing and Mixing Errors,"concerns about individuals taking a dose that is too high for the setting, their experience level, or their physical state. It also includes the dangerous practice of mixing psychedelics with other drugs or alcohol without understanding the risks",28,71.79%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *at festivals and parties?*,40,Q16_PC1,39,97.50%,Substance-Related Risks,concerns related to the psychedelic substances themselves,4,Lack of Experience / Preparation,Novice users dosing carelessly or without prior knowledge.,33,84.62%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *at festivals and parties?*,40,Q16_PC2,31,77.50%,Physical and Health Complications,direct physical harms that can result from substance use in these environments or physical harm that is compounded by the effects of psychedelics,1,"Heat, Dehydration, Exhaustion","Overheating, dehydration, or sleep deprivation compounded by psychedelics",6,19.35%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *at festivals and parties?*,40,Q16_PC2,31,77.50%,Physical and Health Complications,direct physical harms that can result from substance use in these environments or physical harm that is compounded by the effects of psychedelics,2,Unsafe/Chaotic Settings,"Lack of stable, calm environments for altered states.",29,93.55%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *at festivals and parties?*,40,Q16_PC2,31,77.50%,Physical and Health Complications,direct physical harms that can result from substance use in these environments or physical harm that is compounded by the effects of psychedelics,3,Lack of Quiet/Decompression Spaces,Few or inadequate chill-out areas to regulate overstimulation,8,25.81%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *at festivals and parties?*,40,Q16_PC3,40,100.00%,Social & Cultural Risks,Community and interpersonal safety issues in altered states,1,Peer Pressure & Social Suggestibility,Pressure to take psychedelics to fit in or use more than intended.,4,10.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *at festivals and parties?*,40,Q16_PC3,40,100.00%,Social & Cultural Risks,Community and interpersonal safety issues in altered states,2,Sexual Harassment & Assault,Non-consensual touch and vulnerability of women or marginalized genders,18,45.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *at festivals and parties?*,40,Q16_PC3,40,100.00%,Social & Cultural Risks,Community and interpersonal safety issues in altered states,3,Distrust/Unsafe People,Risk of being around unsupportive or unsafe individuals while high.,35,87.50%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *at festivals and parties?*,40,Q16_PC3,40,100.00%,Social & Cultural Risks,Community and interpersonal safety issues in altered states,4,Law Enforcement Risks,"Fear of undercover policing, criminalization, or arrest.",20,50.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *at festivals and parties?*,40,Q16_PC4,39,97.50%,Harm Reduction Gaps,Failures in providing or accessing adequate support resources.,1,Absence of Harm Reduction Services,Festivals or promoters refusing to host peer support or zendo tents,4,10.26%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *at festivals and parties?*,40,Q16_PC4,39,97.50%,Harm Reduction Gaps,Failures in providing or accessing adequate support resources.,2,Lack of Awareness of Resources,"Services may exist, but attendees don’t know or feel able to use them.",22,56.41%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *at festivals and parties?*,40,Q16_PC4,39,97.50%,Harm Reduction Gaps,Failures in providing or accessing adequate support resources.,3,Inadequate Trained Support,Friends or staff unprepared to hold space during crises.,37,94.87%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *when taking psychedelics alone?*,39,Q17_PC1,40,100.00%,Lack of a Support System,"not having a trusted person available to provide support, guidance, or assistance during a solitary psychedelic experience. This absence is cited as a major factor that can turn a challenging experience into a dangerous one",1,"No ""Trip Sitter"" or On-Call Person","absence of a person physically present or on-call to help with a challenging experience, get help in an emergency, or simply provide reassurance",16,40.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *when taking psychedelics alone?*,39,Q17_PC1,40,100.00%,Lack of a Support System,"not having a trusted person available to provide support, guidance, or assistance during a solitary psychedelic experience. This absence is cited as a major factor that can turn a challenging experience into a dangerous one",2,Feeling of Isolation,"emotional state of being alone during an intense psychological experience. It can lead to feelings of being ""untethered,"" fear, or the belief that the experience will never end, which can trigger panic",10,25.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *when taking psychedelics alone?*,39,Q17_PC1,40,100.00%,Lack of a Support System,"not having a trusted person available to provide support, guidance, or assistance during a solitary psychedelic experience. This absence is cited as a major factor that can turn a challenging experience into a dangerous one",3,Community/Resource Gaps,"Lack of accessible hotlines, buddy systems, or integration support",40,100.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *when taking psychedelics alone?*,39,Q17_PC2,34,85.00%,Psychological and Emotional Distress,"internal, psychological challenges that are heightened when an individual is alone and lacks external support",1,Overwhelm and Panic,"fear of being overwhelmed by the intensity of the experience and Feeling “untethered, leading to panic attacks and a loss of composure ",22,64.71%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *when taking psychedelics alone?*,39,Q17_PC2,34,85.00%,Psychological and Emotional Distress,"internal, psychological challenges that are heightened when an individual is alone and lacks external support",2,Vulnerability and Re-traumatization,"risk of reliving or being re-traumatized by past experiences without a safe, supportive presence to help navigate the emotional intensity",12,35.29%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *when taking psychedelics alone?*,39,Q17_PC2,34,85.00%,Psychological and Emotional Distress,"internal, psychological challenges that are heightened when an individual is alone and lacks external support",3,Psychological Overestimation,"Misjudging one’s own readiness or stability, leading to unsafe solo use",15,44.12%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *when taking psychedelics alone?*,39,Q17_PC2,34,85.00%,Psychological and Emotional Distress,"internal, psychological challenges that are heightened when an individual is alone and lacks external support",4,Spiraling Negative Thoughts,"Falling into self-destructive loops, intrusive thoughts, or suicidal ideation",4,11.76%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *when taking psychedelics alone?*,39,Q17_PC3,37,92.50%,Physical Safety Risks,Risks to bodily safety when no one is present.,1,Impaired Functioning,Difficulty performing basic tasks and unable to perform self-care,7,18.92%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *when taking psychedelics alone?*,39,Q17_PC3,37,92.50%,Physical Safety Risks,Risks to bodily safety when no one is present.,2,Physiological Reactions,Distressing body responses,23,62.16%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *when taking psychedelics alone?*,39,Q17_PC3,37,92.50%,Physical Safety Risks,Risks to bodily safety when no one is present.,3,Accidental Injury & Unsafe Behavior,Risk of harming oneself and others from making a poor decision while under the influence,30,81.08%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *when taking psychedelics alone?*,39,Q17_PC4,40,100.00%,Environment and Preparation Gaps,Issues from inadequate planning or unsafe surroundings,1,Poor Set & Setting,Unprepared or unsafe environments that amplify distress,34,85.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *when taking psychedelics alone?*,39,Q17_PC4,40,100.00%,Environment and Preparation Gaps,Issues from inadequate planning or unsafe surroundings,2,Inappropriate Attitudes/Context,Engaging with psychedelics casually or recklessly when alone,14,35.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *when taking psychedelics alone?*,39,Q17_PC4,40,100.00%,Environment and Preparation Gaps,Issues from inadequate planning or unsafe surroundings,3,Dosing and Substance Safety,risk of an individual making a mistake with their dose,29,72.50%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *when taking psychedelics alone?*,39,Q17_PC4,40,100.00%,Environment and Preparation Gaps,Issues from inadequate planning or unsafe surroundings,4,Lack of Education,"Limited understanding of dosage, side effects, or safe solo practices",36,90.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *when taking psychedelics alone?*,39,Q17_PC5,15,37.50%,Neurodivergent-Specific Risks,Heightened concerns for autistic or neurodivergent individuals,1,Sensory Flooding & Overstimulation,Intense sensory input leading to meltdowns or shutdowns,4,26.67%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *when taking psychedelics alone?*,39,Q17_PC5,15,37.50%,Neurodivergent-Specific Risks,Heightened concerns for autistic or neurodivergent individuals,2,Trauma Sensitivity,Greater likelihood of re-triggering past trauma or emotional flashbacks,9,60.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *when taking psychedelics alone?*,39,Q17_PC5,15,37.50%,Neurodivergent-Specific Risks,Heightened concerns for autistic or neurodivergent individuals,3,Difficulty Communicating Needs,Challenges in asserting boundaries or asking for help,9,60.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences *when taking psychedelics alone?*,39,Q17_PC5,15,37.50%,Neurodivergent-Specific Risks,Heightened concerns for autistic or neurodivergent individuals,4,Limited Coping & Integration Tools,Trouble applying grounding techniques or making sense of the experience afterwards,12,80.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC1,38,95.00%,Unqualified or Unethical Facilitation,"highlights the significant risks that arise when facilitators lack the proper training, experience, or ethical standards to safely guide participants",1,Lack of Professional Competence,"Facilitators without sufficient training, lineage grounding, or hands-on experience leading groups",31,81.58%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC1,38,95.00%,Unqualified or Unethical Facilitation,"highlights the significant risks that arise when facilitators lack the proper training, experience, or ethical standards to safely guide participants",2,Poor Facilitation Practices,"Lack of trauma-informed care, inability to co-regulate, or poor container management",22,57.89%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC1,38,95.00%,Unqualified or Unethical Facilitation,"highlights the significant risks that arise when facilitators lack the proper training, experience, or ethical standards to safely guide participants",3,Breach of Ethical Boundaries,"facilitators engaging in manipulative, predatory, or nonconsensual behaviors",25,65.79%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC1,38,95.00%,Unqualified or Unethical Facilitation,"highlights the significant risks that arise when facilitators lack the proper training, experience, or ethical standards to safely guide participants",4,Trust & Vetting of Facilitators,"Difficulty knowing if facilitators are safe, ethical, or properly vetted",26,68.42%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC1,38,95.00%,Unqualified or Unethical Facilitation,"highlights the significant risks that arise when facilitators lack the proper training, experience, or ethical standards to safely guide participants",5,Neglect of Participant Needs,facilitators who do not prioritize the well-being of their participants,11,28.95%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC2,38,95.00%,Risky Group Dynamics,safety issues that arise from the interpersonal relationships and shared energy within a small group. These concerns go beyond the facilitator and focus on the ways participants can unintentionally harm or destabilize one another,1,Conflict & Social Tension,"Alienation, conflict, or “bad vibes” from differences in personality or communication styles",17,44.74%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC2,38,95.00%,Risky Group Dynamics,safety issues that arise from the interpersonal relationships and shared energy within a small group. These concerns go beyond the facilitator and focus on the ways participants can unintentionally harm or destabilize one another,2,Emotional Contagion & Group Energy Loops,One person’s anxiety or overwhelming journey destabilizing the whole group,11,28.95%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC2,38,95.00%,Risky Group Dynamics,safety issues that arise from the interpersonal relationships and shared energy within a small group. These concerns go beyond the facilitator and focus on the ways participants can unintentionally harm or destabilize one another,3,Peer Pressure & Suggestibility,Subtle or explicit pressure to consume more or act in certain ways,8,21.05%,,,,,,,
